t,ax_k,ay_k,az_k
100.0,0.3447065277556324,-0.3799973694314677,9.883803258680112
101.0,0.3528420206309512,-0.38118695113435674,9.89330485292381
102.0,0.3658969854861151,-0.38173164248384095,9.900886556587322
103.0,0.37963075865632284,-0.3623947786981641,9.896067359714433
104.0,0.36571418586780896,-0.38289796596553144,9.900638035484
105.0,0.35879240067386126,-0.38556853199074687,9.900738794164806
106.0,0.3450056914313435,-0.3894587133648329,9.889489274953915
107.0,0.3423843788286772,-0.3845335837087204,9.87707336148821
108.0,0.34467691935593586,-0.3832036090788667,9.890334151645856
109.0,0.3418209145080146,-0.37252749780167155,9.913923610785995
110.0,0.3627060227440998,-0.38058782510172356,9.894906609712296
111.0,0.3617731563937987,-0.3916468357532783,9.905937733594087
112.0,0.3678861224552862,-0.38257191152509146,9.901047978130423
113.0,0.35002511125652985,-0.3623610197108448,9.907831876674933
114.0,0.3470183236086194,-0.36378595872847885,9.920223975430519
115.0,0.34061814367138943,-0.3564145598829718,9.916004142038682
116.0,0.25830347816010346,-0.3681808679227059,9.895778048395643
117.0,0.5104183129000659,-0.3741803166324833,9.90592672357643
118.0,0.06939234587775484,-0.40702826554376065,10.09126665693988
119.0,0.09787871750693326,-0.38506305114612827,10.34591275305537
120.0,0.3577467007103671,-0.3535031725328692,10.340567508960904
121.0,0.7017262581117046,-0.3330575146982486,10.396193075798749
122.0,0.9359548389328595,-0.24793267913084965,10.503111698668839
123.0,0.8658866378289436,-0.17965806689268324,9.828973964750666
124.0,0.9389774447623347,-0.36372939441739494,9.722588078975711
125.0,0.3721446110910447,-0.46475071827735315,10.094628281694726
126.0,-0.09105256245405119,-0.5087171401563088,10.162668938646503
127.0,-0.4621126699154471,-0.6061557372340098,10.505755727581407
128.0,-0.7041357405414258,-0.5468942551357231,10.361144152680422
129.0,-0.9852700363017874,-0.46999710036517817,10.273716968615593
130.0,-1.0102564503431881,-0.43393210183653796,10.152970388042043
131.0,-0.6962430276139087,-0.42022736307772196,10.0826375448552
132.0,-0.4256523970935077,-0.41863642312079263,10.035834454889692
133.0,-0.22266375797428664,-0.4022700942094194,9.98582355436916
134.0,-0.08421920361084653,-0.38870765959415815,9.96549901247136
135.0,0.02426453669447451,-0.3671626747914142,9.944842054673803
136.0,0.12641026630244803,-0.3533792846563579,9.928471654088762
137.0,0.19740203282416596,-0.3539955421364385,9.924288108441788
138.0,0.22527483999769812,-0.36091560913573123,9.933528232060212
139.0,0.25694064925418236,-0.3614369757378235,9.937360605389316
140.0,0.28231634409147155,-0.36149397444685766,9.9252760843264
141.0,0.31960048832093146,-0.3751231947422708,9.921632464715588
142.0,0.3264306705165056,-0.37924713073689964,9.918325897292688
143.0,0.3272099440747985,-0.3696398866609225,9.924971227539325
144.0,0.31839676114593524,-0.3597164690650941,9.924968464506044
145.0,0.3261991640039156,-0.36703208611174143,9.939201248883096
146.0,0.3157179664014912,-0.3652540135303136,9.919825578130347
147.0,0.3184207965250008,-0.3717206580717233,9.912801738654876
148.0,0.3200699282372942,-0.37288163330068064,9.920939454672881
149.0,0.3313024917953856,-0.3510829356933416,9.918790779487162
150.0,0.3501764941662659,-0.35523120169947386,9.927898615430903
151.0,0.3477758336123516,-0.3708758664229737,9.9358399611726
152.0,0.36996380824402636,-0.3625596211633512,9.907019977135809
153.0,0.35121797985628395,-0.36781308394824486,9.918013720198617
154.0,0.35824139843198816,-0.3567656119251561,9.909538347047377
155.0,0.34848571764808434,-0.355820007930708,9.909175703654041
156.0,0.35560023889811476,-0.34898308148747875,9.895970548077457
157.0,0.359498668976843,-0.3401110214127807,9.88633284730862
158.0,0.361696889825823,-0.34010609013993015,9.899033202235442
159.0,0.36912451343239666,-0.3511019963424131,9.898273468332498
160.0,0.3764866069738805,-0.3455396700374441,9.89221914110152
161.0,0.3598607811738204,-0.36542013336682194,9.881006809720759
162.0,0.36099063356911937,-0.3504899250941087,9.902910316315795
163.0,0.38478479495453527,-0.3577100321863973,9.90336787548403
164.0,0.36688770912162005,-0.36039146437509834,9.903378175058844
165.0,0.36838379393683324,-0.36914230161246825,9.899503547374946
166.0,0.19510126797472555,-0.20438975929286493,9.979171926066728
167.0,0.24882979167548114,-0.21193445415721027,9.889147791558273
168.0,-1.5734605212625947,-0.2675856790282445,9.810826860486392
169.0,-1.1224992087880015,-0.3052907485355348,10.159999479521568
170.0,-1.8952590057258125,-0.12446607855332822,9.825073726620394
171.0,-1.7992829301307325,-0.1762486814920947,9.681890467871199
172.0,-1.7240591404980226,-0.22957060131343432,10.226035741550207
173.0,-1.4698724727286079,-0.29145681889932246,9.410967225937558
174.0,-1.147185673366505,-0.31203696821398363,10.433991736296328
175.0,-0.16500270391597194,-0.43575820187109215,10.762335344946917
176.0,0.7106830741306169,-0.5668182199310169,10.942447857899765
177.0,0.7642353095144503,-0.6132973210648491,11.34338970204606
178.0,1.104188726511787,-0.5899577151649467,10.472655779805763
179.0,1.2985982137522043,-0.5706588319167795,10.796053626931274
180.0,1.1020903637084944,-0.4782831156785361,10.19709201131476
181.0,1.2051885487590372,-0.4105397555413058,10.131338687850569
182.0,1.069502507933333,-0.40283108697755887,10.061996966809946
183.0,0.8912117953186862,-0.3962344161141705,9.995536116250115
184.0,0.7581757971305894,-0.3823614666762782,9.987145843372327
185.0,0.6568746099278694,-0.384853450608435,9.959346811484673
186.0,0.5874697690287098,-0.3763197425156505,9.955557111073125
187.0,0.5300212642600125,-0.3577979129969756,9.944703285097875
188.0,0.495533672220282,-0.3627202042941814,9.938722760014711
189.0,0.4574225267914433,-0.3540191469402257,9.953121880784774
190.0,0.4480476829610562,-0.3586682362997585,9.95004348295723
191.0,0.43344116138259225,-0.3591497097001994,9.923856300397981
192.0,0.41275172299781954,-0.3685595278209551,9.910890612167245
193.0,0.40121032462932915,-0.36442772418496516,9.895280820864517
194.0,0.391169341002066,-0.36141215296747176,9.926915891513039
195.0,0.38837019278578294,-0.3734459002352265,9.921211572407795
196.0,0.38600373438123764,-0.36896455433227604,9.918342358798197
197.0,0.3923644612483385,-0.3582530349627118,9.924336217739432
198.0,0.4005654579567736,-0.3627288547668742,9.905417659710825
199.0,0.3929632897223171,-0.3556430391231888,9.895492212417894
200.0,0.380297564220843,-0.3562947642055839,9.908306204473377
201.0,0.38431767121943017,-0.3580644807696511,9.898247693153218
202.0,0.3988982528899831,-0.37617885439891224,9.907082154334196
203.0,0.4017754454828525,-0.3690180899570869,9.912559529835551
204.0,0.4019342580323367,-0.3728502747450142,9.894557797675331
205.0,0.4010796258714063,-0.3662652401128069,9.885948784330884
206.0,0.40077938888070797,-0.3582240480003459,9.885165119424595
207.0,0.40153081301735233,-0.34750251294905576,9.875534828676711
208.0,0.4072554628551877,-0.3561767121171838,9.892122736525893
209.0,0.3984929723674055,-0.38127138428630225,9.90811146279226
210.0,0.3956563936391127,-0.377587570845119,9.910399020568185
211.0,0.3948801911745951,-0.3664875807524587,9.883599248637683
212.0,0.40046045922439016,-0.3677682452653063,9.896714455084402
213.0,0.3977393758273397,-0.3764672846713665,9.907257178308814
214.0,0.39348880935763647,-0.3731107869893352,9.897158420781606
215.0,0.3952392786013109,-0.37033755053939693,9.907581203915061
216.0,0.39522278864400284,-0.3641078264932169,9.916158608553065
217.0,0.41559218106207274,-0.3602081252237911,9.914978131659007
218.0,0.4181650891026461,-0.36415576524915316,9.909263859959484
219.0,0.4132491080873238,-0.36089015336382707,9.913181162864438
220.0,0.401896855514052,-0.36368299765621404,9.92703959222219
221.0,0.41399291200316324,-0.3624861954645625,9.918390110950405
222.0,0.4163508483870225,-0.3525542979884475,9.93148833475285
223.0,0.43489453816218687,-0.36277536163621144,9.927136838212672
224.0,0.43548794758430803,-0.3737938098090957,9.922666877238894
225.0,0.4427148565372688,-0.3604835780126399,9.918434102875965
226.0,0.4256668496381839,-0.352386759142278,9.899168965458605
227.0,0.425194522122905,-0.34680086365298446,9.898048907135758
228.0,0.4251732980773844,-0.3501648748319549,9.890114174124728
229.0,0.43098107901773786,-0.35747279627173484,9.88173496201644
230.0,0.3802223504075341,-0.3715413332996433,9.909911995019934
231.0,0.5081689130757016,-0.3517223025913102,9.937917740069004
232.0,0.09783750045513123,-0.41587156979070283,9.606373732239529
233.0,0.3337765185061681,-0.35043091473161636,9.827347807920882
234.0,0.6298812835597678,-0.38031299200626156,9.49397023155083
235.0,1.749244564129815,-0.07990158289235416,9.16492552218548
236.0,1.4390796587984587,-0.23495470876199867,9.784999805474946
237.0,1.0677731442194034,-0.5257288351222587,10.338170366674413
238.0,0.6075212857931638,-0.5438397090526921,10.107486039547542
239.0,0.19881851726640876,-0.5978206729103502,10.158788963654164
240.0,-0.3747816950684494,-0.6575997715700211,10.463131833019945
241.0,-0.7109239682563473,-0.5896165937928284,10.253362333517611
242.0,-0.7288245004150861,-0.4979425861955984,10.182759619005221
243.0,-0.9068815688760805,-0.3666554504918984,10.141259405290453
244.0,-0.8611669588144348,-0.3630380451742371,10.147528000538989
245.0,-0.5486092219161476,-0.36039790437399954,10.071224539599926
246.0,-0.3479896461534537,-0.35976507307227557,10.004858899440114
247.0,-0.18054024336769478,-0.3554210278944382,9.981656560350396
248.0,-0.07126892212671752,-0.36066193200015906,9.983809824133084
249.0,0.015599397737713003,-0.3673986088949637,9.954323942056105
250.0,0.08385242015352885,-0.35808068641013885,9.960302784834939
251.0,0.11652018472650397,-0.35289763509428207,9.952696054505447
252.0,0.14553878601658407,-0.3423210045154447,9.936792051650063
253.0,0.1605710519083452,-0.3485128431904371,9.937477964318418
254.0,0.15763112234365675,-0.3578846477683358,9.938949244687873
255.0,0.20174804174658456,-0.3598718715392055,9.934846856506653
