t_ms,ax,ay,az,gx,gy,gz,mx,my,mz
826087,0.28500732,-0.35087036,9.958491,0.18310546,-0.976562464,0.244140616,-27.914952,10.651758,24.2272
826129,0.3412903,-0.37601808,9.861493,0.122070308,-0.3662109,0.18310546,-26.446592,9.5501584,27.261848
826140,0.33410524,-0.398770784,9.8866416,0.061035152,0.122070308,0.3662109,-27.915404,9.550006,25.3657568
826182,0.344882832,-0.35685792,9.912986,0.18310546,-0.244140616,0.30517578,-25.34465,13.957923,26.125938
826224,0.3412903,-0.38320316,9.916579,0.244140616,-0.488281232,0.3662109,-26.446592,9.917472,24.232754
826266,0.34847536,-0.35925296,9.889036,0.122070308,-0.5493164,0.3662109,-27.548096,11.753854,28.015912
826277,0.29817996,-0.36524048,9.772878,0.18310546,-0.18310546,0.30517578,-26.813906,10.6521,27.261848
826318,0.37362308,-0.34727784,9.889036,0.30517578,0.0,0.244140616,-27.181658,9.550312,23.478172
826359,0.32332766,-0.36524048,9.944121,0.244140616,-0.42724606,0.30517578,-26.814338,8.448353,26.128934
826401,0.36883304,-0.37601808,9.866283,0.18310546,-0.122070308,0.3662109,-26.446592,10.6521,27.261848
826412,0.36284548,-0.38679568,9.948912,0.18310546,-0.7324218,0.18310546,-27.915846,10.6521,23.4754816
826453,0.344882832,-0.3903882,9.920172,0.244140616,0.061035152,0.30517578,-28.650936,11.38691,22.342132
826495,0.4239185,-0.3388953,9.868678,0.122070308,-0.5493164,0.30517578,-26.814338,12.121551,24.992894
826507,0.344882832,-0.41194338,9.920172,0.30517578,-0.42724606,0.122070308,-27.182096,9.550467,24.99576
826550,0.33769776,-0.392783232,9.8866416,0.244140616,0.30517578,0.30517578,-26.446592,8.815531,21.582296
826592,0.30057496,-0.3796106,9.887838,0.42724606,-0.244140616,0.30517578,-28.650474,10.284785,28.397758
826634,0.403560832,-0.42032592,9.8938264,0.18310546,-0.061035152,0.244140616,-26.813478,12.48847,26.122944
826646,0.32213014,-0.38559816,9.899814,0.244140616,-0.3662109,0.30517578,-25.344248,10.65193,24.987164
826688,0.33290774,-0.36524048,9.921369,0.18310546,0.0,0.30517578,-29.752896,9.917632,30.673098
826729,0.38679568,-0.34727784,9.862691,0.244140616,0.0,0.3662109,-26.813906,10.284785,27.640486
826740,0.366438,-0.407153336,9.855506,0.30517578,0.0,0.122070308,-29.017788,9.182844,23.4754816
826781,0.3173401,-0.398770784,9.884246,0.122070308,-0.18310546,0.3662109,-27.548976,10.652271,23.856854
826823,0.30776004,-0.32332766,9.924961,0.30517578,-0.061035152,0.30517578,-26.447872,11.019947,26.513694
826864,0.38679568,-0.3784131,9.917776,0.244140616,-0.122070308,0.42724606,-28.283162,11.019413,26.504576
826876,0.3388953,-0.3556604,9.885444,0.18310546,0.0,0.244140616,-30.11973,9.182844,24.232754
826917,0.33769776,-0.4131409,9.849518,0.30517578,0.061035152,0.42724606,-27.915404,9.917315,25.74435
826960,0.37482056,-0.38440068,9.918974,0.30517578,0.122070308,0.30517578,-28.650936,13.590829,25.371574
827001,0.401165784,-0.38320316,9.921369,0.122070308,0.061035152,0.18310546,-27.18122,11.386727,23.4754816
827013,0.4167334,-0.31015504,9.883048,0.18310546,0.18310546,0.30517578,-27.548532,11.754041,23.4754816
827055,0.3281177,-0.4382886,9.912986,0.30517578,-0.244140616,0.3662109,-27.548532,10.284785,24.990028
827098,0.340092768,-0.392783232,9.901011,0.244140616,0.061035152,0.122070308,-27.181658,9.917632,28.022336
827110,0.30776004,-0.39996828,9.859098,0.244140616,-0.061035152,0.244140616,-29.017788,8.080903,19.310476
827151,0.33530274,-0.37122804,9.843531,0.122070308,-0.244140616,0.18310546,-28.283618,9.917632,21.584772
827193,0.35087036,-0.3796106,9.926159,0.244140616,-0.18310546,0.3662109,-29.385102,11.019413,20.825024
827237,0.33410524,-0.34368532,9.977652,0.244140616,-0.18310546,0.244140616,-27.18122,11.754041,24.232754
827248,0.41912844,-0.4023633,9.843531,0.122070308,0.18310546,0.244140616,-26.813478,10.284622,26.88013
827289,0.35925296,-0.42152344,9.935739,0.18310546,-0.42724606,0.244140616,-26.813906,11.386727,23.096844
827331,0.38440068,-0.35805544,9.887838,0.244140616,0.061035152,0.122070308,-28.650474,9.5501584,28.776396
827343,0.30177248,-0.30776004,9.926159,0.30517578,-0.122070308,0.3662109,-27.915404,10.284622,23.094196
827386,0.3388953,-0.36763552,9.953702,0.244140616,1.5258788,0.244140616,-27.549424,10.285118,26.889378
827427,0.32332766,-0.336500268,9.904604,0.3662109,3.173828,-0.8544921,-26.078864,10.65193,26.501538
827468,0.035925296,-0.39996828,9.841136,0.488281232,5.981445,-2.6855466,-26.813478,12.121161,28.015912
827480,1.1915222,-0.3903882,9.933344,0.8544921,7.568359,-4.272461,-28.283618,10.284952,26.128934
827522,-1.1220667,-0.49576904,10.591974,3.84521468,5.004883,15.136718,-27.915846,11.019413,25.747302
827563,0.17483642,-0.32572266,11.033855,2.319336,3.9062498,2.6245114,-27.182096,9.550467,27.646826
827574,1.0597962,-0.2682422,10.326127,-1.4038085,1.7089842,-3.234863,-28.283162,11.386727,25.368666
827615,1.6310084,-0.2778223,10.546469,1.4038085,0.488281232,-7.50732336,-30.486558,11.0192376,23.094196
827658,1.5687379,-0.017962648,10.791959,-0.5493164,1.8310546,4.5166016,-29.017788,10.284785,25.368666
827700,0.67659304,0.0047900392,8.007749,2.0141602,-1.9531249,0.7324218,-26.078864,12.121161,27.637318
827711,1.1364368,-0.86100952,9.43518,2.1972656,-1.2817382,4.760742,-29.017788,11.754041,27.261848
827752,-1.1591895,-0.7376661,11.099718,0.42724606,0.244140616,2.1972656,-27.548532,10.284785,18.9318384
827795,-1.3424085,-0.62749516,10.346485,0.5493164,-0.9155273,-3.234863,-29.386052,10.652443,26.131932
827807,-1.4645546,-0.86939216,11.432626,-0.67138664,0.5493164,-3.35693332,-27.915846,9.182844,25.368666
827848,-1.3579761,-0.38679568,9.970467,1.2817382,-1.7089842,-3.4790036,-30.488028,10.652443,25.753206
827889,-1.7447718,-0.26225466,10.037527,-1.159668,-0.488281232,-1.8310546,-30.120216,11.019591,21.963452
827931,-1.0777588,-0.336500268,9.826766,0.7324218,-0.7324218,0.0,-29.386052,10.285118,23.102142
827942,0.15208374,-0.38320316,9.892629,-0.7324218,-1.2207031,-3.2958982,-30.488028,9.183141,25.374484
827984,0.305365,-0.4143384,9.909393,0.0,-4.8828124,0.976562464,-27.916748,9.917792,24.617036
828024,0.32572266,-0.35805544,9.850716,0.30517578,-1.4038085,0.30517578,-27.182096,7.713838,21.587248
828065,0.28979736,-0.3520679,9.910591,0.18310546,0.976562464,0.3662109,-30.854854,9.182993,26.886296
828076,0.3173401,-0.30895756,9.889036,0.30517578,0.7324218,0.42724606,-29.753376,8.081164,24.99576
828118,0.4023633,-0.3161426,9.884246,0.18310546,-0.67138664,0.30517578,-30.854854,10.652271,25.750254
828159,0.3891907,-0.3556604,9.912986,0.3662109,0.5493164,0.244140616,-30.11973,9.182844,23.096844
828200,0.30057496,-0.3796106,9.958491,0.0,-0.18310546,0.3662109,-29.385102,12.488668,23.854118
828211,0.3424878,-0.36284548,9.947714,0.18310546,-0.488281232,0.3662109,-28.6514,8.815815,23.102142
828252,0.35087036,-0.36164796,9.892629,0.061035152,-0.793457,0.30517578,-31.222176,10.284952,24.992894
828293,0.42032592,-0.41194338,9.911789,0.244140616,-0.3662109,0.42724606,-31.588984,7.3462752,25.368666
828335,0.344882832,-0.3903882,9.909393,0.244140616,-0.9155273,0.30517578,-30.120702,8.081164,24.99576
828346,0.3293152,-0.34368532,9.942924,0.18310546,-1.0986328,0.3662109,-29.384634,8.815391,23.094196
828387,0.2945874,-0.33290774,9.924961,0.18310546,-0.67138664,0.3662109,-30.486558,9.182698,23.851384
828428,0.34727784,-0.38679568,9.977652,0.18310546,-0.7324218,0.244140616,-29.753376,8.815815,23.102142
828469,0.28740236,-0.36045044,9.867481,0.3662109,-0.488281232,0.18310546,-29.752414,9.917472,20.446386
828481,0.32572266,-0.3891907,9.8938264,0.244140616,-0.488281232,0.3662109,-31.22167,10.284785,24.990028
828524,0.32452516,-0.37601808,9.942924,0.18310546,-0.7324218,0.244140616,-29.384634,9.917315,24.60857
828565,0.36164796,-0.2921924,9.912986,0.244140616,-0.244140616,0.42724606,-31.588984,7.713589,22.3395716
828577,0.401165784,-0.366438,9.952504,0.244140616,-0.244140616,0.244140616,-30.486558,8.448082,19.308262
828619,0.3412903,-0.4131409,9.957294,0.244140616,0.30517578,0.122070308,-31.589494,9.550312,21.584772
828662,0.429906,-0.340092768,9.829161,0.18310546,-0.42724606,0.244140616,-30.120702,9.917792,21.587248
828703,0.30057496,-0.38200564,9.947714,0.18310546,0.18310546,0.42724606,-29.385102,11.019413,22.718208
828715,0.3772156,-0.32692018,9.8866416,0.30517578,0.0,0.30517578,-31.222176,10.284952,21.963452
828756,0.32213014,-0.3532654,9.908196,0.30517578,-0.976562464,0.3662109,-29.752896,11.019591,26.507614
828800,0.37482056,-0.3305127,9.860296,0.42724606,-1.2207031,0.30517578,-28.650474,10.6521,23.4754816
828811,0.37003052,-0.3161426,9.860296,0.244140616,-0.976562464,0.3662109,-31.589494,11.38691,23.856854
828852,0.36763552,-0.340092768,9.933344,0.244140616,-0.5493164,0.488281232,-31.222176,12.121551,25.750254
828894,0.3891907,-0.38080812,9.896221,0.061035152,0.61035156,0.3662109,-32.324136,12.121551,23.0994932
828937,0.39637576,-0.3305127,9.875863,0.122070308,0.793457,0.42724606,-30.487044,7.3462752,25.747302
828949,0.31494508,-0.41912844,9.850716,0.122070308,0.5493164,0.42724606,-30.487044,10.6521,22.718208
828990,0.364043,-0.31015504,9.962084,0.122070308,-0.122070308,0.488281232,-31.22167,10.284785,23.4754816
829032,0.4490662,-0.3772156,9.904604,0.18310546,-0.9155273,0.30517578,-30.487536,10.652271,20.827412
829043,0.31853762,-0.36763552,9.903406,0.30517578,-1.0375976,0.30517578,-30.486558,7.3461584,23.851384
