event_type,scan_code,name,time
down,21,y,1770221282.4138663
up,30,a,1770221282.447875
up,21,y,1770221282.5108728
down,57,space,1770221282.6076198
up,57,space,1770221282.664182
down,38,l,1770221282.7869806
up,38,l,1770221282.8422563
down,23,i,1770221283.0211236
up,23,i,1770221283.0984359
down,20,t,1770221283.0984359
up,20,t,1770221283.1809728
down,20,t,1770221283.248915
up,20,t,1770221283.3272138
down,38,l,1770221283.3512266
up,38,l,1770221283.4216793
down,18,e,1770221283.500831
up,18,e,1770221283.5300767
down,57,space,1770221283.5659583
up,57,space,1770221283.6331804
down,33,f,1770221283.7025084
up,33,f,1770221283.7819939
down,30,a,1770221283.906456
up,30,a,1770221284.0134618
down,46,c,1770221285.051235
up,46,c,1770221285.1111627
down,20,t,1770221285.265036
up,20,t,1770221285.3447058
down,57,space,1770221285.409085
up,57,space,1770221285.4852238
down,31,s,1770221285.9315612
up,31,s,1770221286.0277371
down,20,t,1770221286.0852242
up,20,t,1770221286.1772473
down,30,a,1770221286.181738
up,30,a,1770221286.2475584
down,20,t,1770221286.2683003
up,20,t,1770221286.3427775
down,18,e,1770221286.3756027
up,18,e,1770221286.4524534
down,57,space,1770221286.5180352
up,57,space,1770221286.5860767
down,46,c,1770221286.6741316
up,46,c,1770221286.751631
down,30,a,1770221286.8602653
down,49,n,1770221286.90272
up,30,a,1770221286.9528384
up,49,n,1770221286.9861906
down,57,space,1770221287.0996876
up,57,space,1770221287.1515088
down,50,m,1770221287.2491686
up,50,m,1770221287.3201191
down,24,o,1770221287.337568
up,24,o,1770221287.4331758
down,19,r,1770221287.433686
up,19,r,1770221287.4873855
down,18,e,1770221287.5814903
up,18,e,1770221287.638606
down,57,space,1770221287.6704876
up,57,space,1770221287.8064504
down,17,w,1770221287.8064504
down,35,h,1770221287.8671696
up,17,w,1770221287.9003258
up,35,h,1770221287.945934
down,23,i,1770221288.0545025
up,23,i,1770221288.1209826
down,18,e,1770221288.335246
up,18,e,1770221288.4220862
down,14,backspace,1770221288.7765837
up,14,backspace,1770221288.8319948
down,38,l,1770221289.008452
up,38,l,1770221289.0997415
down,18,e,1770221289.1014085
up,18,e,1770221289.1728384
down,57,space,1770221289.2463212
up,57,space,1770221289.305332
down,34,g,1770221289.4862735
up,34,g,1770221289.5892942
down,30,a,1770221289.6772509
up,30,a,1770221289.7768588
down,23,i,1770221289.8111904
up,23,i,1770221289.8889678
down,49,n,1770221290.3562183
up,49,n,1770221290.4236553
down,14,backspace,1770221290.640646
up,14,backspace,1770221290.7237298
down,23,i,1770221290.8663197
up,23,i,1770221290.9542644
down,49,n,1770221291.0448692
up,49,n,1770221291.1141918
down,31,s,1770221291.248257
up,31,s,1770221291.3584547
down,20,t,1770221291.6077528
up,20,t,1770221291.7078161
down,57,space,1770221291.8565073
up,57,space,1770221291.929291
down,23,i,1770221292.0521133
up,23,i,1770221292.1217344
down,49,n,1770221292.1548793
up,49,n,1770221292.2251198
down,57,space,1770221292.3410103
up,57,space,1770221292.420295
down,35,h,1770221292.4737136
up,35,h,1770221292.5421095
down,24,o,1770221292.6473553
up,24,o,1770221292.7392166
down,17,w,1770221292.7392166
up,17,w,1770221292.8088448
